instrument_key,symbol,analysis_date,lookback_days,total_days_analyzed,data_type,lowest_bb_date,lowest_p10_bb_width,lowest_mean_bb_width,lowest_min_bb_width,lowest_max_bb_width,lowest_day_data_points
NSE_EQ|INE915B01019,INDSWFTLAB,2025-07-06T00:35:27.773505,20,26,intraday_5min,2025-05-27,0.20,0.51,0.15,0.80,56
NSE_EQ|INE0KL801015,DCXINDIA,2025-07-06T00:35:27.865497,20,24,intraday_5min,2025-06-09,0.63,2.63,0.36,9.01,75
NSE_EQ|INE06HJ01020,ECOSMOBLTY,2025-07-06T00:35:28.167946,20,22,intraday_5min,2025-06-17,1.41,5.66,1.18,14.74,75
NSE_EQ|INE615P01015,QUESS,2025-07-06T00:35:28.238716,20,24,intraday_5min,2025-06-06,0.65,1.71,0.57,5.74,75
NSE_EQ|INE0JR601024,YATRA,2025-07-06T00:35:28.350486,20,26,intraday_5min,2025-07-01,0.30,0.72,0.26,1.40,75
NSE_EQ|INE221J01015,SHARDACROP,2025-07-06T00:35:28.450152,20,26,intraday_5min,2025-06-06,2.67,8.50,2.24,15.25,75
NSE_EQ|INE745B01028,KHAICHEM,2025-07-06T00:35:28.562087,20,17,intraday_5min,2025-06-17,0.19,1.17,0.15,2.76,75
NSE_EQ|INE421D01022,CCL,2025-07-06T00:35:28.742637,20,24,intraday_5min,2025-06-20,1.74,10.96,1.52,25.31,75
NSE_EQ|INE103C01036,SMCGLOBAL,2025-07-06T00:35:28.814837,20,26,intraday_5min,2025-05-29,0.60,1.31,0.40,2.48,75
NSE_EQ|INE127T01021,KPEL,2025-07-06T00:35:28.878235,20,22,intraday_5min,2025-06-25,2.22,8.04,1.59,24.37,75
NSE_EQ|INE206N01018,RELTD,2025-07-06T00:35:28.979870,20,20,intraday_5min,2025-06-04,0.90,3.21,0.68,7.90,75
NSE_EQ|INE542W01025,KPIGREEN,2025-07-06T00:35:29.108550,20,22,intraday_5min,2025-06-03,2.29,4.58,2.07,7.73,75
NSE_EQ|INE367G01038,PFOCUS,2025-07-06T00:35:29.257834,20,22,intraday_5min,2025-06-25,0.13,1.50,0.07,3.78,75
NSE_EQ|INE191A01027,ORCHPHARMA,2025-07-06T00:35:29.315751,20,19,intraday_5min,2025-06-11,1.61,4.85,1.18,10.62,75
NSE_EQ|INE153A01019,MTNL,2025-07-06T00:35:29.367824,20,19,intraday_5min,2025-06-09,0.18,0.49,0.12,1.03,75
NSE_EQ|INE703H01016,HUBTOWN,2025-07-06T00:35:29.421385,20,22,intraday_5min,2025-06-26,0.59,4.56,0.40,13.63,75
NSE_EQ|INE182D01020,MARATHON,2025-07-06T00:35:29.480678,20,22,intraday_5min,2025-06-17,2.79,8.14,2.15,19.90,75
