
=== 1st Entry: Top Performing Stocks (min 5 trades) ===
          name direction    trend  total_trades  winning_trades  avg_pnl  win_rate  total_pnl
 SANGHVIMOV 2_30_entry      LONG BULLISH             6             3.0   154.77     50.00     928.62
     ZAGGLE 2_30_entry     SHORT BULLISH             5             3.0   144.45     60.00     722.23
    GOLDIAM 2_30_entry      LONG BEARISH             8             4.0   127.16     50.00    1017.27
BAJAJFINSRV 2_30_entry      LONG BULLISH             5             5.0   123.06    100.00     615.29
    CARRARO 2_30_entry     SHORT BULLISH             7             5.0   122.61     71.43     858.30
   SURYODAY 2_30_entry     SHORT BULLISH             9             8.0   119.34     88.89    1074.08
        RBA 2_30_entry      LONG BULLISH             6             4.0   117.25     66.67     703.52
  INOXGREEN 2_30_entry     SHORT BULLISH             8             6.0   111.66     75.00     893.30
   PARADEEP 2_30_entry      LONG BEARISH            10             6.0   109.50     60.00    1095.04
     JTLIND 2_30_entry     SHORT BEARISH            21            11.0   108.78     52.38    2284.43
  OSWALAGRO 2_30_entry     SHORT BULLISH            16             8.0   104.39     50.00    1670.28
 STYLEBAAZA 2_30_entry     SHORT BULLISH             7             5.0   104.14     71.43     728.98
 JISLJALEQS 2_30_entry      LONG BULLISH             7             3.0   103.77     42.86     726.39
     TAJGVK 2_30_entry      LONG BEARISH             5             2.0    97.42     40.00     487.12
   FIRSTCRY 2_30_entry      LONG BEARISH            22            13.0    87.96     59.09    1935.16
       ICIL 2_30_entry     SHORT BULLISH             6             4.0    87.81     66.67     526.85
 KALAMANDIR 2_30_entry     SHORT BEARISH            27            15.0    86.00     55.56    2322.10
   PARADEEP 2_30_entry      LONG BULLISH            16             6.0    81.63     37.50    1306.13
 TIMETECHNO 2_30_entry     SHORT BEARISH            11             8.0    81.05     72.73     891.55
        KEC 2_30_entry     SHORT BEARISH             9             7.0    80.44     77.78     724.00
 UMAEXPORTS 2_30_entry      LONG BEARISH            14             6.0    79.34     42.86    1110.71
 TRANSRAILL 2_30_entry     SHORT BEARISH             7             5.0    78.45     71.43     549.13
     ZAGGLE 2_30_entry      LONG BULLISH             7             5.0    77.04     71.43     539.29
BALAKRISHNA 2_30_entry      LONG BEARISH             5             2.0    75.69     40.00     378.47
    APTECHT 2_30_entry     SHORT BULLISH             5             3.0    74.60     60.00     372.98
        KRN 2_30_entry     SHORT BEARISH            12            10.0    73.55     83.33     882.56
 JISLJALEQS 2_30_entry     SHORT BEARISH             8             4.0    73.03     50.00     584.26
        ACC 2_30_entry     SHORT BEARISH             7             5.0    71.62     71.43     501.32
     FUSION 2_30_entry     SHORT BULLISH             8             3.0    68.30     37.50     546.43
  SARLAPOLY 2_30_entry     SHORT BULLISH             9             5.0    67.37     55.56     606.30
        BLS 2_30_entry     SHORT BEARISH             5             4.0    66.12     80.00     330.60
     POLICY 2_30_entry     SHORT BULLISH             5             3.0    65.43     60.00     327.17
    TFCILTD 2_30_entry     SHORT BULLISH            12             6.0    62.78     50.00     753.32
   ANANTRAJ 2_30_entry      LONG BEARISH            25            10.0    60.29     40.00    1507.27
 REMSONSIND 2_30_entry      LONG BULLISH             5             2.0    59.72     40.00     298.59
 SWANENERGY 2_30_entry     SHORT BEARISH            38            23.0    59.36     60.53    2255.58
    TFCILTD 2_30_entry     SHORT BEARISH            14             9.0    56.94     64.29     797.16
     JTLIND 2_30_entry      LONG BULLISH             7             5.0    54.50     71.43     381.47
   PARADEEP 2_30_entry     SHORT BULLISH            12             7.0    54.27     58.33     651.24
        TBZ 2_30_entry     SHORT BEARISH            22            11.0    53.04     50.00    1166.94
 QUADFUTURE 2_30_entry     SHORT BEARISH             8             5.0    52.45     62.50     419.59
     POLICY 2_30_entry      LONG BULLISH             9             5.0    51.97     55.56     467.72
       EMIL 2_30_entry     SHORT BULLISH             7             4.0    51.10     57.14     357.72
 QUADFUTURE 2_30_entry     SHORT BULLISH             8             6.0    50.48     75.00     403.87
   PARADEEP 2_30_entry     SHORT BEARISH            19            12.0    49.21     63.16     935.05
 JAICORPLTD 2_30_entry     SHORT BEARISH            40            25.0    49.19     62.50    1967.48
     TVSSCS 2_30_entry     SHORT BEARISH            35            23.0    49.07     65.71    1717.49
 SWANENERGY 2_30_entry     SHORT BULLISH             6             3.0    49.04     50.00     294.22
 UMAEXPORTS 2_30_entry     SHORT BEARISH            16            10.0    48.66     62.50     778.59
   AEROFLEX 2_30_entry     SHORT BEARISH             8             5.0    48.62     62.50     388.92
     GARUDA 2_30_entry     SHORT BEARISH             7             5.0    48.29     71.43     338.06
     ZAGGLE 2_30_entry      LONG BEARISH            23             9.0    46.56     39.13    1070.96
    TFCILTD 2_30_entry      LONG BEARISH            19             6.0    45.95     31.58     873.02
    GOLDIAM 2_30_entry     SHORT BEARISH            10             5.0    45.56     50.00     455.64
      EMBDL 2_30_entry     SHORT BEARISH            23            14.0    45.49     60.87    1046.28
      KITEX 2_30_entry      LONG BEARISH             7             4.0    45.20     57.14     316.41
     AUBANK 2_30_entry      LONG BULLISH             5             3.0    44.58     60.00     222.91
        TBZ 2_30_entry     SHORT BULLISH             7             3.0    44.30     42.86     310.13
  LLOYDSENT 2_30_entry      LONG BULLISH             5             2.0    43.79     40.00     218.94
      EMBDL 2_30_entry     SHORT BULLISH            11             6.0    43.52     54.55     478.72
 BALAJITELE 2_30_entry     SHORT BULLISH             7             2.0    42.79     28.57     299.50
BAJAJFINSRV 2_30_entry     SHORT BULLISH             7             5.0    41.62     71.43     291.35
    STLTECH 2_30_entry     SHORT BEARISH            22            13.0    41.35     59.09     909.77
