[2025-07-23T11:35:00.000+05:30]: Time: 1753250700000 | BB Width Raw: 1.4424 | BB Width: 2.0115% | Upper: 72.4292 | Lower: 70.9868 | Middle: 71.708 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:40:00.000+05:30]: Time: 1753251000000 | BB Width Raw: 1.38 | BB Width: 1.9238% | Upper: 72.4235 | Lower: 71.0435 | Middle: 71.7335 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:45:00.000+05:30]: Time: 1753251300000 | BB Width Raw: 1.2399 | BB Width: 1.7277% | Upper: 72.385 | Lower: 71.145 | Middle: 71.765 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:50:00.000+05:30]: Time: 1753251600000 | BB Width Raw: 1.0247 | BB Width: 1.4272% | Upper: 72.3134 | Lower: 71.2886 | Middle: 71.801 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:50:00.000+05:30]: Time: 1753248000000 | BB Width Raw: 1.5149 | BB Width: 2.1262% | Upper: 72.0074 | Lower: 70.4926 | Middle: 71.25 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:55:00.000+05:30]: Time: 1753248300000 | BB Width Raw: 1.287 | BB Width: 1.8046% | Upper: 71.9635 | Lower: 70.6765 | Middle: 71.32 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:00:00.000+05:30]: Time: 1753248600000 | BB Width Raw: 1.4509 | BB Width: 2.0335% | Upper: 72.076 | Lower: 70.625 | Middle: 71.3505 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:05:00.000+05:30]: Time: 1753248900000 | BB Width Raw: 1.4576 | BB Width: 2.0413% | Upper: 72.1373 | Lower: 70.6797 | Middle: 71.4085 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:10:00.000+05:30]: Time: 1753249200000 | BB Width Raw: 1.5616 | BB Width: 2.1852% | Upper: 72.2423 | Lower: 70.6807 | Middle: 71.4615 | Threshold: 1 | Squeeze: NO
[2025-07-23T11:15:00.000+05:30]: Time: 1753249500000 | BB Width Raw: 1.5918 | BB Width: 2.2254% | Upper: 72.3214 | Lower: 70.7296 | Middle: 71.5255 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:15:00.000+05:30]: Time: 1753245900000 | BB Width Raw: 1.0205 | BB Width: 1.4385% | Upper: 71.4568 | Lower: 70.4362 | Middle: 70.9465 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:20:00.000+05:30]: Time: 1753246200000 | BB Width Raw: 1.1561 | BB Width: 1.6288% | Upper: 71.5561 | Lower: 70.3999 | Middle: 70.978 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:25:00.000+05:30]: Time: 1753246500000 | BB Width Raw: 1.2226 | BB Width: 1.7215% | Upper: 71.6263 | Lower: 70.4037 | Middle: 71.015 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:30:00.000+05:30]: Time: 1753246800000 | BB Width Raw: 1.3903 | BB Width: 1.9564% | Upper: 71.7632 | Lower: 70.3728 | Middle: 71.068 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:35:00.000+05:30]: Time: 1753247100000 | BB Width Raw: 1.4189 | BB Width: 1.9956% | Upper: 71.814 | Lower: 70.395 | Middle: 71.1045 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:40:00.000+05:30]: Time: 1753247400000 | BB Width Raw: 1.5053 | BB Width: 2.1155% | Upper: 71.9061 | Lower: 70.4009 | Middle: 71.1535 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:45:00.000+05:30]: Time: 1753247700000 | BB Width Raw: 1.5839 | BB Width: 2.2249% | Upper: 71.9809 | Lower: 70.3971 | Middle: 71.189 | Threshold: 1 | Squeeze: NO
[2025-07-23T09:35:00.000+05:30]: Time: 1753243500000 | BB Width Raw: 0.9344 | BB Width: 1.319% | Upper: 71.3072 | Lower: 70.3728 | Middle: 70.84 | Threshold: 1 | Squeeze: NO
[2025-07-23T09:45:00.000+05:30]: Time: 1753244100000 | BB Width Raw: 0.9545 | BB Width: 1.347% | Upper: 71.3423 | Lower: 70.3877 | Middle: 70.865 | Threshold: 1 | Squeeze: NO
[2025-07-23T09:50:00.000+05:30]: Time: 1753244400000 | BB Width Raw: 0.9885 | BB Width: 1.3946% | Upper: 71.3722 | Lower: 70.3838 | Middle: 70.878 | Threshold: 1 | Squeeze: NO
[2025-07-23T09:55:00.000+05:30]: Time: 1753244700000 | BB Width Raw: 0.9906 | BB Width: 1.3973% | Upper: 71.3848 | Lower: 70.3942 | Middle: 70.8895 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:00:00.000+05:30]: Time: 1753245000000 | BB Width Raw: 1.0266 | BB Width: 1.4477% | Upper: 71.4288 | Lower: 70.4022 | Middle: 70.9155 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:05:00.000+05:30]: Time: 1753245300000 | BB Width Raw: 1.0308 | BB Width: 1.4535% | Upper: 71.4329 | Lower: 70.4021 | Middle: 70.9175 | Threshold: 1 | Squeeze: NO
[2025-07-23T10:10:00.000+05:30]: Time: 1753245600000 | BB Width Raw: 1.0227 | BB Width: 1.4418% | Upper: 71.4408 | Lower: 70.4182 | Middle: 70.9295 | Threshold: 1 | Squeeze: NO
[2025-07-23T09:15:00.000+05:30]: Time: 1753242300000 | BB Width Raw: 0.9338 | BB Width: 1.3188% | Upper: 71.2714 | Lower: 70.3376 | Middle: 70.8045 | Threshold: 1 | Squeeze: NO
[2025-07-23T09:20:00.000+05:30]: Time: 1753242600000 | BB Width Raw: 0.9324 | BB Width: 1.3169% | Upper: 71.2682 | Lower: 70.3358 | Middle: 70.802 | Threshold: 1 | Squeeze: NO
[2025-07-23T09:25:00.000+05:30]: Time: 1753242900000 | BB Width Raw: 0.9213 | BB Width: 1.3007% | Upper: 71.2922 | Lower: 70.3708 | Middle: 70.8315 | Threshold: 1 | Squeeze: NO
[2025-07-23T09:30:00.000+05:30]: Time: 1753243200000 | BB Width Raw: 0.9213 | BB Width: 1.3007% | Upper: 71.2922 | Lower: 70.3708 | Middle: 70.8315 | Threshold: 1 | Squeeze: NO
